id,title,date,source_raw,source_normalized,priority,featured,status,created_at,updated_at,author,in_last_30d,in_last_90d,days_since_today,tier_noticias,tier_archivo_today,on_homepage_today,ever_top6_current_formula,days_in_top6_current_formula,first_top6_date_current_formula,days_publish_to_first_top6_current_formula,tiebreak_decided_days,tiebreak_pushed_out_days,hard_figure_disclosed_detected,chart_worthy_data_detected,names_entity_detected,entities_detected,axis_a_proximity,axis_a_method,axis_a_why,axis_b_magnitude,axis_b_method,axis_b_why,exclusive_first_report,exclusive_first_report_method,exclusive_first_report_why,continues_existing_thread,continues_existing_thread_method,continues_existing_thread_why,affects_multiple_markets,affects_multiple_markets_method,affects_multiple_markets_why,proprietary_analysis,proprietary_analysis_method,proprietary_analysis_why,unconfirmed_rumor,unconfirmed_rumor_method,unconfirmed_rumor_why,points_base,points_modifier,points_total,decade,ever_top6_counterfactual,days_in_top6_counterfactual,newly_surfaced_under_counterfactual
kevin-lamour-sale-de-la-fifa-17-dias-despues-de-criticar-a-infantino,Kevin Lamour sale de la FIFA 17 días después de criticar a Infantino,2026-08-17,noticias,noticias,5,True,published,2026-08-17 20:59:18.790658+00,2026-08-17 21:20:37.670637+00,,True,True,1,lg,,True,True,2,2026-08-17,0,0,0,True,True,True,Concacaf;FIFA,intl_no_latam,judged,About a FIFA executive's departure with no Mexico/LATAM angle.,update_context,judged,"A personnel departure that follows and updates the ongoing Infantino/Mundial-sale-plan controversy, not a new structural or transactional event.",False,judged,"The Athletic is credited with the exclusive, not Playbook.",True,judged,"Explicitly ties the exit to Lamour's criticism of Infantino 17 days earlier and his July 31 letter, continuing that storyline.",False,judged,Concerns a single organization's personnel matter.,False,judged,Recounts FIFA's statement and prior events without original Playbook analysis.,False,judged,"Departure is confirmed by FIFA, even though the reason is left unclear.",10,18,28,2,True,1,False
mark-walter-y-boehly-negocian-venderle-a-clearlake-su-parte-del-chelsea,Mark Walter y Boehly negocian venderle a Clearlake su parte del Chelsea,2026-08-17,noticias,noticias,4,False,published,2026-08-17 20:59:19.128487+00,2026-08-17 20:59:19.128487+00,,True,True,1,md,,True,True,2,2026-08-17,0,0,0,True,True,True,Chelsea;Lakers;Liverpool;Manchester City;Premier League,intl_no_latam,judged,"About Chelsea FC ownership in the UK/US, no Mexico/LATAM link.",structural,judged,"Concerns an ownership/control consolidation negotiation for the club, without a disclosed price for the current deal.",False,judged,"Financial Times is credited with the exclusive report, not Playbook.",False,judged,No explicit reference to a prior Playbook story.,False,judged,Concerns ownership of a single club.,False,judged,Relays the FT's reporting and ownership percentages without original Playbook analysis.,False,judged,"Framed as a sourced negotiation report ('adelantó en exclusiva'), not speculative rumor language.",45,15,60,6,True,2,False
liv-golf-cancela-su-ultima-fecha-y-acumula-proveedores-sin-cobrar,LIV Golf cancela su última fecha y acumula proveedores sin cobrar,2026-08-17,noticias,noticias,4,False,published,2026-08-17 20:59:19.259589+00,2026-08-17 20:59:19.259589+00,,True,True,1,md,,True,True,2,2026-08-17,0,0,0,True,True,False,,intl_no_latam,judged,About LIV Golf's US/global operations with no Mexico/LATAM link.,update_context,judged,"Continues the known narrative of LIV Golf's financial troubles (cancellation, unpaid vendors) rather than a new structural or deal event.",False,judged,"Front Office Sports is credited with speaking to the contractors directly, not Playbook.",False,judged,No explicit reference to a previously reported Playbook story.,False,judged,Concerns a single golf circuit's finances.,False,judged,Reports facts sourced to Front Office Sports without original Playbook analysis.,False,judged,"Based on direct sourcing with contractors and a filed lawsuit, not rumor.",10,11,21,2,False,0,False
menos-torneos-obligatorios-en-la-wta-el-costo-es-el-crecimiento-del-premio,Menos torneos obligatorios en la WTA: el costo es el crecimiento del premio,2026-08-17,noticias,noticias,3,False,published,2026-08-17 20:59:19.401726+00,2026-08-17 20:59:19.401726+00,,True,True,1,sm,3,False,False,0,,,0,0,False,False,True,Monterrey,intl_no_latam,judged,About WTA tour governance with no Mexico/LATAM link.,structural,judged,Concerns a governance council's plan to vote on changing mandatory tournament rules.,False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a prior Playbook story.,False,judged,"Concerns a single tour's global rules, not a specific set of countries/markets.",False,judged,Reports a council member's on-record statement without original Playbook analysis.,False,judged,"Sourced to a named council member describing a planned vote, not framed as rumor.",45,4,49,4,True,1,True
mexico-asegura-su-lugar-en-la28-tras-ganar-el-bronce-del-mundial-de-flag-football,México asegura su lugar en LA28 tras ganar el bronce del Mundial de Flag Football,2026-08-17,infinitas,infinitas,5,False,published,2026-08-17 21:02:21.341275+00,2026-08-17 21:02:21.341275+00,Guillermo Mejía,True,True,1,,,True,True,2,2026-08-17,0,0,0,False,False,False,,mexico,judged,About Mexico's national flag football team qualifying for LA28.,update_context,judged,"Reports a competition result and its Olympic qualification consequence, with no disclosed figures or structural/regulatory change.",False,judged,No exclusivity claim in the text.,False,judged,"No explicit reference to a prior Playbook story, despite following the same tournament covered elsewhere.",False,judged,"Centered on Mexico's own qualification, not an explicit multi-market effect.",True,judged,Adds Playbook's own business framing that the result buys nearly two years to build audience and sponsorships before LA28.,False,judged,Reports a confirmed match result and qualification.,45,6,51,5,True,2,False
jeanie-buss-impugna-la-venta-del-17-8-de-los-lakers,Jeanie Buss impugna la venta del 17.8% de los Lakers,2026-08-17,noticias,noticias,5,False,published,2026-08-18 02:57:23.210455+00,2026-08-18 02:57:23.210455+00,,True,True,1,lg,,True,True,2,2026-08-17,0,0,0,True,True,True,Lakers;NBA,intl_no_latam,judged,"About Lakers/NBA ownership dispute in the US, no Mexico/LATAM link.",structural,judged,A legal dispute over trust governance and control of a club ownership sale.,False,judged,No exclusivity claim in the text.,False,judged,References the sale to Kushner and Iger but does not explicitly cite a prior Playbook story.,False,judged,Concerns a single team's ownership dispute.,False,judged,Recounts the lawyer's letter and legal claims without original Playbook analysis.,False,judged,"Based on an attorney's letter describing a concrete legal position, not speculation.",45,15,60,6,True,2,False
mlb-aprueba-la-venta-de-los-padres-a-jose-feliciano-en-us-3-900-millones-record-de-la-liga,"MLB aprueba la venta de los Padres a José Feliciano en US$3,900 millones, récord de la liga",2026-08-17,industry-shots,noticias,4,False,published,2026-08-18 12:35:28.321751+00,2026-08-18 12:35:28.321751+00,,True,True,1,md,,True,True,2,2026-08-17,0,0,0,True,True,True,América;Chelsea;Lakers;MLB;Mets;NBA;Premier League,intl_latam_effect,judged,"US MLB franchise sale, but the text explicitly ties it to a Latino/Puerto Rico-born owner becoming the league's second Latino principal owner.",transaction_figures,judged,"Discloses a record US$3,900 million sale price for the Padres.",False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a prior Playbook story.,False,judged,Concerns a single franchise sale in the US market.,False,judged,Reports MLB's official approval and deal facts without original Playbook analysis.,False,judged,"MLB formally and unanimously approved the sale, a confirmed event.",50,15,65,6,True,2,False
que-tan-grande-puede-ser-el-flag-en-mexico,¿Qué tan grande puede ser el Flag en México?,2026-08-14,la-lana,la-lana,5,False,published,2026-08-14 14:54:30.945208+00,2026-08-14 14:54:30.945208+00,Guillermo Mejía,True,True,4,,5,False,True,3,2026-08-14,0,0,0,True,False,True,49ers;NFL,mexico,judged,Focuses on Mexico's national flag football teams and their commercial potential.,update_context,judged,"Analysis piece on growth potential tied to an ongoing tournament, with no new deal, figure, or structural change.",False,judged,No exclusivity claim in the text.,False,judged,No explicit reference to a previously reported Playbook story.,False,judged,"Centered on Mexico; other countries/entities mentioned are context, not an explicit multi-market effect.",True,judged,Piece frames Playbook's own read on how sporting success could become a bigger business ('esto es lo que puede convertir...').,False,judged,"Discusses confirmed events (rankings, ESPN coverage, NFL-backed league), not rumor.",45,16,61,6,True,3,False
oceania-apoya-a-infantino-y-nueva-zelanda-rompe-filas,Oceanía apoya a Infantino y Nueva Zelanda rompe filas,2026-08-14,noticias,noticias,5,False,published,2026-08-15 02:38:40.31203+00,2026-08-15 02:51:28.98355+00,,True,True,4,lg,5,False,True,3,2026-08-14,0,0,0,False,True,True,Concacaf;Conmebol;FIFA;UEFA,intl_no_latam,judged,Concerns FIFA/OFC/New Zealand politics with no Mexico/LATAM link.,structural,judged,About federation governance positioning ahead of a FIFA presidential re-election vote.,False,judged,No exclusivity claim in the text.,False,judged,"No explicit reference to a prior Playbook story, despite being part of an evolving saga.",True,judged,"Explicitly discusses the 210 voting federations across confederations, a multi-country governance matter.",False,judged,Reports federation statements and vote counts without original Playbook analysis.,False,judged,"Based on published federation communiques and statements, not speculation.",45,14,59,5,True,3,False
iturbide-descarta-el-ascenso-la-liga-mx-seguira-siendo-cerrada,Iturbide descarta el ascenso: la Liga MX seguirá siendo cerrada,2026-08-14,noticias,noticias,5,False,published,2026-08-15 16:44:51.853312+00,2026-08-15 16:44:51.853312+00,,True,True,4,lg,5,False,True,3,2026-08-14,0,0,0,False,True,True,Liga MX,mexico,judged,Directly about Liga MX's structure in Mexico.,structural,judged,"Liga MX's executive president rules out promotion/relegation, a structural/rule decision about the league model.",False,judged,"Quote is credited to CANCHA/Reforma, not a Playbook exclusive.",False,judged,"No explicit reference to a previously reported Playbook story, though it builds on known context.",False,judged,Concerns only the Mexican league structure.,False,judged,"Explanation of the cost of promotion is attributed to Iturbide's own reasoning, not Playbook's analysis.",False,judged,"Direct on-record quote/declaration, not speculation.",80,9,89,8,True,5,False
