date,articles_published,priority_1,priority_2,priority_3,priority_4,priority_5,same_priority_collision_count,distinct_priorities_that_day,in_last_30d_of_audit,in_last_90d_of_audit
2025-11-26,1,0,0,1,0,0,0,1,False,False
2025-12-03,1,0,0,1,0,0,0,1,False,False
2025-12-12,1,0,0,1,0,0,0,1,False,False
2025-12-17,1,0,0,0,1,0,0,1,False,False
2026-01-09,1,0,0,1,0,0,0,1,False,False
2026-01-16,1,0,0,0,1,0,0,1,False,False
2026-01-30,1,0,0,1,0,0,0,1,False,False
2026-02-13,1,0,0,1,0,0,0,1,False,False
2026-02-27,1,0,0,1,0,0,0,1,False,False
2026-03-27,1,0,0,1,0,0,0,1,False,False
2026-04-12,1,0,0,0,1,0,0,1,False,False
2026-04-24,1,0,0,1,0,0,0,1,False,False
2026-04-26,1,0,0,0,1,0,0,1,False,False
2026-05-01,1,0,0,0,1,0,0,1,False,False
2026-05-10,1,0,0,1,0,0,0,1,False,False
2026-05-15,1,0,0,0,1,0,0,1,False,False
2026-05-29,1,0,0,1,0,0,0,1,False,True
2026-06-16,1,1,0,0,0,0,0,1,False,True
2026-06-19,1,1,0,0,0,0,0,1,False,True
2026-06-21,1,0,0,0,1,0,0,1,False,True
2026-06-23,1,1,0,0,0,0,0,1,False,True
2026-06-30,1,0,1,0,0,0,0,1,False,True
2026-07-05,1,0,0,0,1,0,0,1,False,True
2026-07-07,2,0,0,2,0,0,2,1,False,True
2026-07-09,9,0,3,2,3,1,8,4,False,True
2026-07-10,2,0,0,1,0,1,0,2,False,True
2026-07-14,6,0,0,2,3,1,5,3,False,True
2026-07-16,6,0,2,2,1,1,4,4,False,True
2026-07-17,1,0,0,0,0,1,0,1,False,True
2026-07-21,6,0,3,1,1,1,3,4,True,True
2026-07-23,9,0,0,6,3,0,9,2,True,True
2026-07-24,1,0,0,0,0,1,0,1,True,True
2026-07-26,1,0,0,0,0,1,0,1,True,True
2026-07-28,6,0,0,3,1,2,5,3,True,True
2026-07-30,8,0,2,3,2,1,7,4,True,True
2026-07-31,2,0,0,0,0,2,2,1,True,True
2026-08-01,1,0,0,0,0,1,0,1,True,True
2026-08-02,6,0,1,3,1,1,3,4,True,True
2026-08-03,3,0,0,0,2,1,2,2,True,True
2026-08-04,2,0,0,0,1,1,0,2,True,True
2026-08-05,3,0,0,0,1,2,2,2,True,True
2026-08-06,3,0,0,0,2,1,2,2,True,True
2026-08-07,3,0,0,0,2,1,2,2,True,True
2026-08-08,1,0,0,0,0,1,0,1,True,True
2026-08-09,5,0,0,2,3,0,5,2,True,True
2026-08-10,6,0,0,2,1,3,5,3,True,True
2026-08-11,11,0,1,3,5,2,10,4,True,True
2026-08-12,6,0,0,1,2,3,5,3,True,True
2026-08-13,4,0,0,1,2,1,2,3,True,True
2026-08-14,3,0,0,0,0,3,3,1,True,True
2026-08-17,7,0,0,1,3,3,6,3,True,True
